,valid_ratio,time_window,epochs,save_flag,logdir,lr,batch_size,latent_dim,label_dim,task,mode,label_variable,test_total_r2,test_position_error,test_position_r2,usage_mode,repeat,seed,algorithm,animal
0,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.824858998651981,0.06580501409492112,0.9020321169595655,mcmc,0,0,pivae-mcmc,0
1,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7241931164355234,0.11088428646326065,0.7706000408324388,mcmc,1,0,pivae-mcmc,0
2,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.434935104151528,0.1042158569576162,0.7967712254717687,mcmc,2,0,pivae-mcmc,0
3,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7721080065710941,0.08471721687702216,0.8689932670710411,mcmc,0,1,pivae-mcmc,0
4,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.6785335759338077,0.12274469880744665,0.7722928839767531,mcmc,1,1,pivae-mcmc,0
5,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.560334320894821,0.15009539253783943,0.6994097295245019,mcmc,2,1,pivae-mcmc,0
6,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7884502203229937,0.07310667910961188,0.9352908223141378,mcmc,0,2,pivae-mcmc,0
7,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7443938033236602,0.10469966711420003,0.8052012018418728,mcmc,1,2,pivae-mcmc,0
8,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,-0.3264385732845351,0.3332754227154032,0.18792932481003755,mcmc,2,2,pivae-mcmc,0
9,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7779898153253759,0.06910095401484556,0.8434614083802665,mcmc,0,3,pivae-mcmc,0
10,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7482583204217664,0.11705759459673756,0.7821268869953644,mcmc,1,3,pivae-mcmc,0
11,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.48010317591341417,0.14745059037825675,0.6522135802630169,mcmc,2,3,pivae-mcmc,0
12,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7974119876073655,0.06058519970286974,0.9492229386834582,mcmc,0,4,pivae-mcmc,0
13,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.72927651332917,0.11819114682048258,0.7815167482326527,mcmc,1,4,pivae-mcmc,0
14,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.6010265426520688,0.09482858620508758,0.8520385975264144,mcmc,2,4,pivae-mcmc,0
15,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7770472318827512,0.10371103137731552,0.8579045720342894,mcmc,0,5,pivae-mcmc,0
16,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.6222655577911081,0.11859278826400488,0.7421602942283773,mcmc,1,5,pivae-mcmc,0
17,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.48818073261168843,0.1895409668936874,0.5033171003353167,mcmc,2,5,pivae-mcmc,0
18,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.719330689559946,0.06708936318002567,0.9092768268160603,mcmc,0,6,pivae-mcmc,0
19,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7017077745484689,0.09680353824538424,0.8418154797546318,mcmc,1,6,pivae-mcmc,0
20,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7119891397701071,0.06295279722021085,0.8692202912894296,mcmc,2,6,pivae-mcmc,0
21,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7350309316297583,0.05968894236015543,0.9132002680750023,mcmc,0,7,pivae-mcmc,0
22,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.726047266283492,0.0870118519272467,0.85849867242934,mcmc,1,7,pivae-mcmc,0
23,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.299750074103502,0.2010883694345301,0.13152241104577922,mcmc,2,7,pivae-mcmc,0
24,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.8383568713243067,0.07347341908348937,0.8863952645386997,mcmc,0,8,pivae-mcmc,0
25,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.6946315950542123,0.0819920900494161,0.8552548074218509,mcmc,1,8,pivae-mcmc,0
26,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.5640600510302791,0.11233880676404395,0.7258630213807967,mcmc,2,8,pivae-mcmc,0
27,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.6852827455404674,0.07762241074533183,0.8978052931533197,mcmc,0,9,pivae-mcmc,0
28,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.7055216050481103,0.13065397548065943,0.7839212389830689,mcmc,1,9,pivae-mcmc,0
29,0.1,10,1000,True,/logs,0.00025,200,2,3,HippocampusCV,continuous,position-direction,0.5971395490548036,0.11795670564728555,0.7945493123476464,mcmc,2,9,pivae-mcmc,0
